ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
cpu, cycles, , Accumulator, 125117931, 0, 300043, 300043, 300043, 1, 1
cpu, instructions, , Accumulator, 125117931, 0, 300004, 300004, 300004, 1, 1
cpu, mem-reads, , Accumulator, 125117931, 0, 2, 2, 2, 1, 1
cpu, mem-writes, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, prefetch_opportunities, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, prefetches_issued, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, prefetches_canceled_by_page_boundary, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, prefetches_canceled_by_history, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, Prefetch_requests, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, Prefetch_drops, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, TotalEventsReceived, , Accumulator, 125117931, 0, 3, 3, 3, 1, 1
l1cache, TotalEventsReplayed, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, TotalNoncacheableEventsReceived, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, CacheHits, , Accumulator, 125117931, 0, 1, 1, 1, 1, 1
l1cache, GetSHit_Arrival, , Accumulator, 125117931, 0, 1, 1, 1, 1, 1
l1cache, GetXHit_Arrival, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, GetSXHit_Arrival, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, GetSHit_Blocked, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, GetXHit_Blocked, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, GetSXHit_Blocked, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, CacheMisses, , Accumulator, 125117931, 0, 1, 1, 1, 1, 1
l1cache, GetSMiss_Arrival, , Accumulator, 125117931, 0, 1, 1, 1, 1, 1
l1cache, GetXMiss_Arrival, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, GetSXMiss_Arrival, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, GetSMiss_Blocked, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, GetXMiss_Blocked, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, GetSXMiss_Blocked, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, GetS_recv, , Accumulator, 125117931, 0, 2, 2, 2, 1, 1
l1cache, GetX_recv, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, GetSX_recv, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, GetSResp_recv, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, GetXResp_recv, , Accumulator, 125117931, 0, 1, 1, 1, 1, 1
l1cache, PutS_recv, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, PutM_recv, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, PutE_recv, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, FetchInv_recv, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, FetchInvX_recv, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, Inv_recv, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, NACK_recv, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, MSHR_occupancy, , Accumulator, 125117931, 0, 28, 28, 300043, 0, 1
l1cache, Bank_conflicts, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, evict_I, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, evict_E, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, evict_M, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, evict_IS, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, evict_IM, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, evict_IB, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, evict_SB, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, latency_GetS_IS, , Accumulator, 125117931, 0, 28, 784, 1, 28, 28
l1cache, latency_GetS_M, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, latency_GetX_IM, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, latency_GetX_SM, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, latency_GetX_M, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, latency_GetSX_IM, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, latency_GetSX_SM, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, latency_GetSX_M, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, EventStalledForLockedCacheline, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, evict_S, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, evict_SM, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_GetS_I, , Accumulator, 125117931, 0, 1, 1, 1, 1, 1
l1cache, stateEvent_GetS_S, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_GetS_M, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_GetX_I, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_GetX_S, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_GetX_M, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_GetSX_I, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_GetSX_S, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_GetSX_M, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_GetSResp_IS, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_GetXResp_IS, , Accumulator, 125117931, 0, 1, 1, 1, 1, 1
l1cache, stateEvent_GetXResp_IM, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_GetXResp_SM, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Inv_I, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Inv_S, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Inv_IS, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Inv_IM, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Inv_SM, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Inv_SB, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Inv_IB, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FetchInvX_I, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FetchInvX_M, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FetchInvX_IS, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FetchInvX_IM, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FetchInvX_SB, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FetchInvX_IB, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Fetch_I, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Fetch_S, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Fetch_IS, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Fetch_IM, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Fetch_SM, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Fetch_IB, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_Fetch_SB, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FetchInv_I, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FetchInv_S, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FetchInv_M, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FetchInv_IS, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FetchInv_IM, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FetchInv_SM, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FetchInv_SB, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FetchInv_IB, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FlushLine_I, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FlushLine_S, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FlushLine_M, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FlushLine_IS, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FlushLine_IM, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FlushLine_SM, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FlushLine_IB, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FlushLine_SB, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FlushLineInv_I, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FlushLineInv_S, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FlushLineInv_M, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FlushLineInv_IS, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FlushLineInv_IM, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FlushLineInv_SM, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FlushLineInv_IB, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FlushLineInv_SB, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FlushLineResp_I, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FlushLineResp_IB, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FlushLineResp_SB, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, eventSent_GetS, , Accumulator, 125117931, 0, 1, 1, 1, 1, 1
l1cache, eventSent_GetX, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, eventSent_GetSX, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, eventSent_PutM, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, eventSent_NACK_down, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, eventSent_FlushLine, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, eventSent_FlushLineInv, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, eventSent_FetchResp, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, eventSent_FetchXResp, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, eventSent_AckInv, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, eventSent_GetSResp, , Accumulator, 125117931, 0, 2, 2, 2, 1, 1
l1cache, eventSent_GetXResp, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, eventSent_FlushLineResp, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_AckPut_I, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, eventSent_PutS, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, eventSent_PutE, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, prefetch_evict, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, prefetch_inv, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, prefetch_useful, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, prefetch_coherence_miss, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, prefetch_redundant, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_GetS_E, , Accumulator, 125117931, 0, 1, 1, 1, 1, 1
l1cache, stateEvent_GetX_E, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_GetSX_E, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FlushLine_E, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FlushLineInv_E, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FetchInv_E, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
l1cache, stateEvent_FetchInvX_E, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
memory, requests_received_GetS, , Accumulator, 125117931, 0, 1, 1, 1, 1, 1
memory, requests_received_GetSX, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
memory, requests_received_GetX, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
memory, requests_received_PutM, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
memory, outstanding_requests, , Accumulator, 125117931, 0, 11, 11, 125117, 0, 1
memory, latency_GetS, , Accumulator, 125117931, 0, 11, 121, 1, 11, 11
memory, latency_GetSX, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
memory, latency_GetX, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
memory, latency_PutM, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
memory, cycles_with_issue, , Accumulator, 125117931, 0, 1, 1, 1, 1, 1
memory, cycles_attempted_issue_but_rejected, , Accumulator, 125117931, 0, 0, 0, 0, 0, 0
memory, total_cycles, , Accumulator, 125117931, 0, 125117, 15654263689, 1, 125117, 125117
